exp,cpg,beta,p
Avg ?HMW,cg05775862,0.509746056,4.46693E-05
13w MCPP,cg10912509,0.193512756,4.47585E-05
26w MCNP,cg00267713,0.143701328,4.48958E-05
26w MEHHP,cg04974587,0.107153808,4.49203E-05
26w MCNP,cg00872371,0.14438717,4.50629E-05
13w MBzP,cg18066206,-0.154389006,4.51886E-05
13w MCPP,cg06717068,-0.178649966,4.5213E-05
26w MEOHP,cg08321942,0.11386425,4.52485E-05
Avg ?LMW,cg16702014,-0.195696291,4.52488E-05
26w MEOHP,cg21417675,0.159341909,4.5395E-05
26w MCNP,cg27287166,0.20319587,4.54205E-05
26w MCNP,cg24062381,0.179843469,4.54885E-05
26w MEOHP,cg22547396,0.123085908,4.55092E-05
26w MEOHP,cg04136173,0.2884111,4.55393E-05
26w MCNP,cg10065130,0.154517217,4.55452E-05
Avg MEP,cg07473023,0.324273028,4.58033E-05
26w MEOHP,cg06697455,0.211026197,4.59638E-05
26w MCNP,cg02647545,0.154190005,4.59811E-05
26w MECPP,cg06322403,0.117978686,4.60051E-05
13w MEHHP,cg23346227,-0.247456495,4.61001E-05
Avg MCPP,cg25619459,-0.154422782,4.61683E-05
13w MCPP,cg12006544,-0.135201705,4.61712E-05
Avg MEHHP,cg26085197,0.127351203,4.63208E-05
26w MEOHP,cg08627212,0.134381085,4.64375E-05
26w MCNP,cg24203709,0.177909574,4.64594E-05
26w MCNP,cg08366132,0.142195629,4.65083E-05
26w MCNP,cg26814847,0.146871945,4.67068E-05
Avg MCPP,cg01878252,-0.17424728,4.67088E-05
26w MCNP,cg18064655,0.144118194,4.67092E-05
26w MBzP,cg21787620,-0.548457346,4.67507E-05
13w ?LMW,cg25880593,0.45453864,4.68045E-05
26w MEHHP,cg04892126,0.185103721,4.688E-05
26w MCNP,cg16371956,0.118927869,4.71538E-05
13w MCNP,cg27438889,-0.227892094,4.72244E-05
Avg MEHHP,cg04307831,0.790594203,4.74195E-05
26w MCNP,cg21475255,0.229410628,4.75891E-05
Avg MEHHP,cg09776910,0.294869385,4.77741E-05
Avg MCNP,cg24435401,0.258543007,4.79649E-05
Avg MEP,cg13197078,-0.114079436,4.80129E-05
26w MCNP,cg00102591,0.195059315,4.80246E-05
26w MEHHP,cg08678044,0.155250503,4.80743E-05
13w MEOHP,cg23346227,-0.238442659,4.80746E-05
26w ?HMW,cg18052443,0.158566726,4.82484E-05
Avg MCPP,cg10170637,0.557446101,4.83228E-05
26w MECPP,cg10257070,0.177379219,4.83436E-05
Avg MEHHP,cg06837311,0.54381995,4.83845E-05
26w MCNP,cg18039963,0.133593708,4.84153E-05
26w MCNP,cg07453683,-0.200022131,4.84525E-05
Avg MBP,cg10965434,-0.38188479,4.86226E-05
26w MCNP,cg17399352,0.143564319,4.89435E-05
Avg MEOHP,cg24334591,0.192076904,4.91076E-05
26w MECPP,cg08278648,0.10596819,4.91757E-05
26w MCNP,cg19611418,0.266025191,4.93127E-05
26w MCNP,cg21164303,0.171895777,4.93275E-05
26w MCNP,cg19195327,0.136899525,4.93677E-05
Avg MCPP,cg06955182,-0.251242652,4.93904E-05
Avg MCNP,cg27268107,0.3445339,4.9439E-05
26w MCNP,cg01650457,0.109441645,4.95594E-05
26w MCNP,cg26715571,0.137848426,4.96064E-05
26w MCNP,cg26263773,0.153714826,4.96106E-05
26w MEHHP,cg08627212,0.135378207,4.98297E-05
26w MCNP,cg02089135,0.144397684,4.99231E-05
13w ?LMW,cg26840757,-0.192151244,4.99649E-05
26w MCNP,cg19187145,0.185634967,5.01537E-05
Avg MCPP,cg26427472,-0.324256088,5.0158E-05
26w MCNP,cg19073614,0.158267234,5.03492E-05
26w MCNP,cg09633568,0.163053161,5.04684E-05
26w MEHP,cg16196274,0.125266586,5.05107E-05
26w MEP,cg13522075,-0.188657393,5.06355E-05
Avg MEP,cg16746631,-0.15376844,5.07667E-05
26w MEHP,cg19109608,0.390209528,5.08108E-05
26w MCNP,cg05471154,0.161679881,5.08131E-05
Avg MECPP,cg10895022,0.177631686,5.08156E-05
26w MEHHP,cg27026926,0.123267764,5.10004E-05
Avg MEHP,cg20831741,1.384765688,5.10692E-05
26w MEHP,ch.1.4190055F,0.169240643,5.11291E-05
26w MCNP,cg25949363,0.124411747,5.12507E-05
13w MiBP,cg07517944,-0.115315874,5.13179E-05
26w MCNP,cg21108220,0.207198824,5.15639E-05
13w MCPP,cg11063167,1.170986084,5.16028E-05
26w MCNP,cg22884020,0.152835214,5.17156E-05
Avg ?LMW,cg07780534,-0.111062634,5.17234E-05
26w MiBP,cg08844887,0.167517221,5.18977E-05
26w ?DEHP,cg14064488,0.206376113,5.19494E-05
26w MCNP,cg06043159,0.176126083,5.19536E-05
26w MCNP,cg25429010,0.152024189,5.20561E-05
26w MCNP,cg12076048,0.110733556,5.20575E-05
26w MCNP,cg04454391,0.158379907,5.21656E-05
Avg MBzP,cg02556042,-0.155705062,5.2463E-05
26w MCNP,cg09755102,0.144225969,5.25768E-05
26w MECPP,cg24909737,0.1058251,5.26871E-05
13w MCPP,cg16805117,0.260809999,5.28072E-05
26w MEP,cg27049594,-0.976162751,5.28442E-05
Avg MEP,cg00418882,0.171796062,5.29168E-05
26w MCPP,cg08023020,0.512350031,5.29789E-05
Avg MCPP,cg21002957,-0.199325681,5.30256E-05
26w MCNP,cg22982528,0.123464318,5.30282E-05
26W ?LMW,cg09450352,-0.140074,5.31676E-05
26w MCNP,cg01477179,0.153117,5.3301E-05
Avg ?LMW,cg26120273,-0.122101552,5.33836E-05
Avg ?LMW,cg25305776,-0.143983297,5.34102E-05
26w MCNP,cg04802271,0.174443463,5.36693E-05
Avg ?LMW,cg22048590,-0.155831869,5.37294E-05
26w MCNP,cg05750276,0.142347633,5.39552E-05
Avg MEP,cg14280330,-0.126353698,5.39717E-05
Avg MEP,cg02442745,0.227744632,5.40694E-05
26w MCNP,cg23439621,0.137275834,5.40961E-05
13w MCPP,cg15995704,-0.180525275,5.41732E-05
26w MEHHP,cg01802493,0.108896396,5.4229E-05
Avg MECPP,cg26190890,0.369001921,5.42565E-05
26w MCNP,cg10836887,0.201737855,5.43229E-05
26w MEP,cg04670913,0.164137772,5.44813E-05
26w MECPP,cg01588455,0.199208996,5.46251E-05
26w ?DEHP,cg08367083,0.413745717,5.46383E-05
Avg ?DEHP,cg05149386,0.326613909,5.46387E-05
Avg MEHHP,cg11795222,0.135690844,5.46508E-05
26w MEHHP,cg08367083,0.360253474,5.46997E-05
26w MEHP,cg16162391,0.172296466,5.47019E-05
Avg MCNP,cg05800683,-1.812313037,5.47759E-05
Avg MEP,cg21025349,-0.132076809,5.49067E-05
26w MECPP,cg26715571,0.12591951,5.49453E-05
Avg MiBP,cg06770163,-0.199912656,5.49688E-05
Avg MEP,cg18398637,-0.125313833,5.50653E-05
26w MCNP,cg26139360,0.177012989,5.52001E-05
26w MCNP,cg17523027,0.150465371,5.52359E-05
26w MEHHP,cg23640903,0.08919906,5.53891E-05
26w MEP,cg15680557,0.140335903,5.54385E-05
26w MEHHP,cg16932098,0.138386456,5.55457E-05
26w MEHP,cg04455646,0.089230833,5.56254E-05
26w MCNP,cg05554457,0.195059754,5.56625E-05
26w MECPP,cg00556112,0.128463699,5.56695E-05
26w MEHHP,cg00530740,0.140389744,5.58853E-05
Avg ?HMW,cg10618979,-0.371536418,5.59054E-05
Avg MCNP,cg14356262,-0.203425158,5.59698E-05
Avg MEP,cg06465371,-0.090041984,5.63016E-05
Avg MECPP,cg15559895,0.545140604,5.63188E-05
Avg MBzP,cg27529871,-0.147998355,5.63281E-05
26w ?DEHP,cg27026926,0.140769803,5.63299E-05
26w MEOHP,cg13709054,0.070133899,5.63361E-05
Avg MBP,cg18553732,-0.302580554,5.63632E-05
26w MEHHP,cg01944038,0.113966468,5.6445E-05
26w MCNP,cg25476577,0.210773146,5.65066E-05
Avg MEHHP,cg13709054,0.087747278,5.6747E-05
26w MEOHP,cg13979305,0.187852314,5.688E-05
26W ?LMW,cg15278262,-0.110698662,5.68973E-05
Avg ?LMW,cg15713389,-0.15493088,5.69911E-05
Avg MEP,cg07192559,0.203306969,5.70477E-05
26w ?DEHP,cg14037397,0.22452529,5.72182E-05
26w MECPP,cg05578989,0.226737003,5.72355E-05
26w MCNP,cg16990513,0.166028224,5.73008E-05
26w MCNP,cg02170310,0.20394819,5.73135E-05
26w MCNP,cg12461125,0.176959414,5.73248E-05
26w MCNP,cg04614923,0.16848544,5.73786E-05
13w MCPP,cg19139193,-0.092156745,5.74507E-05
Avg MECPP,ch.6.20366279F,-0.431462023,5.7523E-05
Avg MBP,cg09798879,0.287925252,5.77133E-05
26w MEHP,cg16582062,0.931173579,5.79831E-05
26w MEP,cg06995810,-0.141357493,5.80202E-05
13w MCPP,cg00784671,-0.255321364,5.803E-05
Avg MEHHP,ch.11.691621F,0.264273112,5.82562E-05
26w MCNP,cg03150322,0.185327919,5.82682E-05
26w MEHHP,cg09217898,0.152468979,5.82984E-05
26w MCNP,cg24208588,0.170101014,5.83365E-05
26w MiBP,cg24933060,-0.264358538,5.83836E-05
26w MCNP,cg04487025,0.127642315,5.8509E-05
Avg MBzP,cg20435345,-0.149552839,5.85224E-05
26w MECPP,cg02578391,0.107204637,5.8634E-05
Avg MCNP,cg08828733,-0.173619831,5.86505E-05
Avg MEHHP,cg22684507,-0.262198586,5.87019E-05
26w MECPP,cg05689110,0.176407288,5.87033E-05
13w MBzP,cg24076502,-0.131572131,5.87628E-05
26w MCNP,cg10245048,0.170235011,5.88371E-05
26w MCNP,cg12278754,0.155306444,5.88852E-05
Avg MEP,cg04210714,-0.082950217,5.8922E-05
26w MECPP,cg20103519,0.155307276,5.89235E-05
Avg MEP,cg09699111,-0.0982463,5.89683E-05
13w MECPP,cg14461511,-0.151994392,5.89943E-05
Avg MEP,cg13431883,-0.114291551,5.92358E-05
13w MCNP,cg09829551,0.181410356,5.9589E-05
Avg MBP,cg04321753,-0.242869669,5.96137E-05
26w MCNP,cg14957731,0.512923958,5.96394E-05
26w MCNP,cg06825142,0.158322515,5.96959E-05
26w MEHHP,cg15311460,0.081524448,5.98313E-05
13w MEP,cg25880593,0.411084418,5.99641E-05
13w MBzP,cg11035992,-0.220387281,6.00389E-05
13w MBP,cg01669242,-0.175186601,6.0246E-05
13w MCPP,cg06532379,0.103813008,6.03811E-05
Avg MEHP,ch.11.691621F,0.20920927,6.03875E-05
26w MCNP,cg23233200,0.151946451,6.04408E-05
26w MEOHP,cg18273501,0.120490393,6.04459E-05
26w ?HMW,cg01802493,0.136391738,6.06756E-05
26w MCNP,cg16784205,0.140280362,6.07046E-05
26w MCNP,cg03368362,0.142971484,6.0717E-05
Avg MEP,cg16408982,-0.165274043,6.07798E-05
13w MBP,cg15049933,-0.205129825,6.08056E-05
26w MEP,cg01806427,-0.162224427,6.0809E-05
26w MCNP,cg14256814,0.136824061,6.08881E-05
26w MCNP,cg01434783,0.250341222,6.08967E-05
Avg ?LMW,cg01341355,-0.155880462,6.09216E-05
26w MEHHP,cg14355911,0.11819607,6.09244E-05
Avg MECPP,cg19100061,0.162586494,6.10871E-05
26w MECPP,cg02630704,0.161950652,6.13006E-05
Avg MEHHP,cg24334591,0.199353765,6.15126E-05
26w MEOHP,cg22468123,0.115946325,6.16482E-05
26w MCNP,cg24204740,0.125067296,6.16868E-05
26w MEOHP,cg14970695,0.39714987,6.17803E-05
26w MEHHP,cg00556112,0.104198489,6.19241E-05
13w ?LMW,cg14981960,-0.177580503,6.19382E-05
26w MEOHP,ch.1.4190055F,0.20964943,6.19969E-05
26w MEHP,cg09809806,0.091806379,6.21464E-05
13w MBP,cg22675660,-0.214281936,6.2185E-05
Avg MCNP,cg02715879,0.463205682,6.22644E-05
Avg ?LMW,cg06465371,-0.103635896,6.23626E-05
13w MEHHP,cg01708493,0.395204719,6.23685E-05
26w MCNP,cg08063013,0.137089696,6.24025E-05
26w MEHHP,cg26715571,0.102269537,6.24103E-05
26w MCNP,cg18887073,0.284001403,6.24647E-05
26w MCNP,cg27545494,0.181152773,6.24706E-05
26w MEHHP,cg04136173,0.286330164,6.26994E-05
26W ?LMW,cg10781408,0.262702523,6.27541E-05
Avg ?HMW,cg11171778,0.188223771,6.27729E-05
26w MEOHP,cg10904986,0.220481888,6.28142E-05
Avg MCNP,cg10818781,-0.2558374,6.28199E-05
26w ?DEHP,cg18052443,0.142342091,6.29864E-05
Avg MCNP,cg05637092,-0.199741567,6.30311E-05
26w ?DEHP,cg22468123,0.134492937,6.30818E-05
13w ?DEHP,ch.6.20366279F,-0.294709751,6.31339E-05
Avg MCNP,cg15542657,0.144952643,6.3145E-05
26w MCNP,cg23530850,0.214303834,6.31552E-05
13w MBP,cg24337173,-0.206843797,6.33595E-05
26w MCNP,cg04999588,0.178941062,6.35595E-05
26w ?HMW,cg26937061,0.19132321,6.36039E-05
26w MEP,cg04606773,-0.132586591,6.36195E-05
26w MCNP,cg09859898,0.129721834,6.36298E-05
26w MCNP,cg05936059,0.188108457,6.37497E-05
26w MCNP,cg16876162,0.164761281,6.37647E-05
13w MCPP,cg21295088,0.122205932,6.37805E-05
26w MEHP,cg12310025,-0.387877847,6.38273E-05
26w MEHHP,cg08278648,0.085349772,6.38298E-05
26w ?HMW,cg25638602,0.246363412,6.38609E-05
Avg MEHHP,cg07006526,0.509461743,6.39799E-05
26w MEOHP,cg18148653,0.128127316,6.42442E-05
13w MBzP,cg21181547,-0.124552947,6.44399E-05
26w MEHHP,cg09764697,0.127614819,6.45464E-05
26w MECPP,cg22468123,0.143067707,6.46134E-05
26w ?HMW,cg20516151,0.133774743,6.47021E-05
Avg ?LMW,cg14331404,0.338299312,6.47933E-05
Avg ?DEHP,cg01708493,0.601939814,6.48352E-05
Avg ?DEHP,cg07006526,0.572289797,6.48656E-05
26w MCNP,cg08106124,0.152247889,6.48848E-05
26w MCNP,cg00607725,0.176585158,6.49627E-05
26w MEHHP,cg06201030,0.138278249,6.49826E-05
26w MCNP,cg12920882,0.252732984,6.49959E-05
Avg MEP,cg16686839,-0.13417666,6.50632E-05
26w ?HMW,cg09633568,0.152781743,6.51132E-05
Avg MEP,cg02703908,-0.111653171,6.51671E-05
13w MECPP,cg18011273,-0.216918893,6.53678E-05
26w MCNP,cg13552650,0.164489015,6.54543E-05
26w MCNP,cg04743758,-0.982348696,6.55912E-05
Avg MCPP,cg06642965,0.516423992,6.56218E-05
13w MCPP,cg06961160,-0.142158884,6.5634E-05
26w ?HMW,cg13828183,0.145937956,6.5807E-05
26w MEOHP,cg09170903,0.124696405,6.58736E-05
Avg MBzP,cg26554406,-0.436537212,6.59169E-05
13w MBzP,cg19919720,-0.144930496,6.61664E-05
Avg MCNP,cg12646386,-0.21884259,6.62095E-05
26w MEHHP,cg16162391,0.215849231,6.63374E-05
13w ?DEHP,cg24849517,-0.169699414,6.63837E-05
13w MBP,cg00660452,-0.234005701,6.64298E-05
26w MEOHP,cg12589387,0.098140031,6.64601E-05
26w MCNP,cg05162533,0.285859017,6.65453E-05
26w MCNP,cg21269934,0.146836298,6.65462E-05
Avg MCPP,cg06915545,-0.255308556,6.66376E-05
Avg MBP,cg18355464,-0.190527886,6.66464E-05
26w MECPP,cg08769852,0.109510395,6.6759E-05
13w MCPP,cg14483283,0.167867065,6.68371E-05
13w MBP,cg23346227,-0.242579796,6.69953E-05
26w MCNP,cg15875062,0.248513873,6.73486E-05
26W ?LMW,cg15680557,0.159119789,6.76091E-05
26w MEHP,cg08212230,0.18267453,6.76129E-05
26w MCNP,cg12467191,0.121506892,6.76504E-05
26w MCPP,cg06383124,0.369126464,6.77056E-05
26W ?LMW,cg01734338,-0.162596218,6.78966E-05
26w MCNP,cg25092328,0.174533118,6.79735E-05
26w MEHHP,cg18689930,0.128800981,6.79922E-05
26W ?LMW,cg06322639,-0.156542767,6.80666E-05
26w MCNP,cg12899421,0.144898171,6.81502E-05
26w MECPP,cg14037397,0.237136895,6.82118E-05
13w MEOHP,cg22304418,-0.213185222,6.83261E-05
26w ?DEHP,cg06685282,0.225137056,6.83268E-05
26w MCNP,cg17498523,0.147619838,6.83774E-05
26w MEHHP,cg14905632,0.116637795,6.84969E-05
26w MCNP,cg10864356,0.202692335,6.86599E-05
Avg MECPP,cg11171778,0.182320249,6.86728E-05
Avg MEP,cg08606748,-0.075182887,6.87949E-05
Avg MEHHP,cg09150450,0.154014447,6.90405E-05
26w MCNP,cg24826564,0.167108323,6.91211E-05
Avg MBP,cg07779653,-0.223649108,6.92695E-05
26w MBP,cg14701925,-0.176509893,6.94105E-05
26w MEOHP,cg23793961,-0.191549866,6.94808E-05
26w MCNP,cg16465560,0.141593954,6.98323E-05
26w MCNP,cg06019853,0.176233488,6.9885E-05
13w MCPP,cg09075137,-0.167857833,7.00385E-05
26w MCNP,cg08952590,0.130441119,7.02147E-05
26w MCNP,cg09635586,0.134230848,7.0278E-05
26w MCNP,cg10706034,0.173126891,7.04351E-05
Avg MCPP,cg18695435,-0.174711754,7.05085E-05
13w MBP,cg00656991,-0.1990992,7.05699E-05
26w MCNP,cg01750172,0.12365968,7.05708E-05
Avg MEHHP,cg07062711,0.207089677,7.06228E-05
26w MEOHP,cg15621260,0.300333603,7.06826E-05
13w MCPP,cg25920207,0.104248537,7.09959E-05
Avg MCNP,cg07992196,-0.201382886,7.10482E-05
26w MiBP,cg25723217,-0.23319893,7.10896E-05
26w MEHHP,cg23717805,0.122384248,7.11009E-05
26w MECPP,cg19110895,0.257856711,7.115E-05
26w MEOHP,cg14064488,0.17447951,7.13225E-05
26w MCNP,cg24700760,0.1256198,7.13433E-05
26w ?HMW,cg05766251,0.168172524,7.14721E-05
Avg ?LMW,cg22381590,-0.140828864,7.14747E-05
Avg ?LMW,cg05686503,0.127626147,7.15198E-05
26w MEHHP,cg18886563,0.108708083,7.17167E-05
Avg MEP,cg13328400,-0.099233348,7.1845E-05
26w MEOHP,cg08430489,0.204345365,7.20807E-05
Avg MEOHP,cg20024953,-0.329229536,7.2212E-05
26w MCNP,cg24913935,0.177405095,7.23634E-05
26w ?DEHP,cg22547396,0.139288185,7.23722E-05
13w MEP,cg17238412,0.163403385,7.23781E-05
26w MCNP,cg05854644,0.150067084,7.2448E-05
26w MCNP,cg16419136,0.168461981,7.24603E-05
26w MiBP,cg04412303,-0.147092591,7.24708E-05
Avg MBP,cg22205501,-0.351334528,7.25097E-05
Avg ?LMW,cg05670240,-0.162464561,7.25268E-05
13w MCPP,cg11658047,0.106135974,7.26952E-05
13w MBP,cg19919720,-0.148704719,7.28283E-05
26w MCNP,cg00265415,0.156883323,7.29298E-05
26w MCNP,cg27417632,0.138249551,7.2991E-05
26w MEOHP,cg20421279,0.100440173,7.30316E-05
26w MEHHP,cg22468123,0.116087909,7.3376E-05
26w MEHHP,cg06314225,0.137807078,7.33868E-05
26w MCNP,cg17427002,0.156888327,7.36747E-05
26w MEP,cg05384628,-0.12745683,7.37183E-05
26w MEP,cg17133734,-0.12776031,7.37578E-05
26w MCPP,cg00977403,0.297982945,7.37656E-05
Avg MEP,cg07380496,0.428974949,7.37941E-05
Avg MBzP,cg14638147,-0.203221962,7.38718E-05
26w MCNP,cg05628394,0.21302859,7.38994E-05
Avg ?LMW,cg02529919,-0.111509472,7.39021E-05
26w MCNP,cg18714712,0.185509296,7.39698E-05
Avg MBP,cg11285998,-0.177732928,7.40218E-05
Avg ?HMW,cg09798879,0.355584333,7.41378E-05
Avg ?LMW,cg19698168,-0.189095724,7.42381E-05
26w MCNP,cg18125735,0.156158522,7.42833E-05
Avg MCPP,cg08189280,-0.164630569,7.43042E-05
26w MCNP,cg06295687,0.131708607,7.44381E-05
Avg MBzP,cg18066206,-0.18845906,7.44543E-05
26w MCNP,cg16551100,0.132830034,7.4531E-05
26w ?HMW,cg00538591,0.308889837,7.45605E-05
13w MCPP,cg05246303,0.155866868,7.46152E-05
26w MEHHP,cg24643393,0.09118071,7.46348E-05
26w MEHHP,cg25638602,0.193578101,7.47143E-05
26w MCNP,cg11496093,0.120215174,7.47237E-05
26w MCNP,cg21462428,0.172508756,7.48447E-05
26w MCNP,cg07475973,0.177457095,7.48787E-05
Avg ?LMW,cg09699111,-0.112112849,7.49148E-05
13w MEP,cg02442745,0.181679804,7.4988E-05
13w MBP,cg18518111,-0.27998675,7.5037E-05
13w MCPP,cg16426870,0.304050082,7.50627E-05
Avg MEP,cg22048590,-0.131991078,7.53123E-05
26w MEHHP,cg00462763,0.148831706,7.53234E-05
26w MCNP,cg23637943,0.145284879,7.53687E-05
26W ?LMW,cg06920390,0.136447036,7.53698E-05
Avg MEP,cg19496479,-0.111795767,7.53715E-05
26w ?HMW,cg06314225,0.173433298,7.54008E-05
26w MEHP,cg17412560,0.123016213,7.54055E-05
Avg ?LMW,cg08732579,-0.170770209,7.5429E-05
Avg MECPP,cg04340095,0.235368786,7.54491E-05
26w MCNP,cg04739401,0.128817402,7.54567E-05
26w MEHP,cg24252723,0.092758762,7.561E-05
26w ?HMW,cg13979305,0.235813657,7.56931E-05
Avg MEHP,cg24334591,0.156976575,7.57111E-05
26W ?LMW,cg00881883,0.193709895,7.5723E-05
13w MCNP,cg20339230,0.118582213,7.5834E-05
Avg MBzP,cg19538614,-0.216720251,7.60008E-05
26w MCPP,cg15424369,-0.142447922,7.61779E-05
26w MECPP,cg19033555,0.181589619,7.6445E-05
13w MCPP,cg21741562,0.325792563,7.64575E-05
26w MCNP,cg09746170,0.163597818,7.64958E-05
26w MCNP,cg02467794,0.159758976,7.65302E-05
26w ?HMW,cg13798621,0.166750927,7.66137E-05
26w MCNP,cg14537639,0.148540056,7.67677E-05
13w MBP,cg09502069,-0.219043836,7.69165E-05
13w MCPP,cg11932564,0.21522356,7.69743E-05
26w MECPP,cg14906638,0.199373283,7.7451E-05
Avg ?LMW,cg18099632,-0.238575498,7.7538E-05
26w ?HMW,cg01944038,0.141101585,7.75543E-05
Avg MBP,cg20136457,-0.217036628,7.75575E-05
13w MCPP,cg03026611,0.381206729,7.79475E-05
Avg ?LMW,cg03762802,-0.15472871,7.79564E-05
Avg ?LMW,cg25974448,-0.122063041,7.79655E-05
13w MCNP,cg02486904,0.131591997,7.81568E-05
Avg MEP,cg20980039,-0.084910972,7.83873E-05
Avg ?HMW,cg24334591,0.238308776,7.83921E-05
26w MCNP,cg26260201,0.16379544,7.8509E-05
26w MCNP,cg16166462,0.155699103,7.85922E-05
26w ?HMW,cg22691333,0.145617879,7.87032E-05
26w MCNP,cg04275985,0.140576456,7.88004E-05
Avg MEP,cg01930478,-0.087796062,7.89036E-05
Avg ?DEHP,cg04340095,0.223911064,7.89363E-05
26w MiBP,cg01342572,-0.28292189,7.91112E-05
26w MCNP,cg02174639,0.114429346,7.92171E-05
26w MCNP,cg18479068,0.166959718,7.92978E-05
13w MCPP,cg21191592,-0.181865107,7.93842E-05
26w MEHHP,cg04914894,0.106143589,7.94897E-05
26w MCNP,cg24295800,-0.610555614,7.95094E-05
26w ?HMW,cg16085568,0.126685346,7.96778E-05
26w MCNP,cg05149386,0.276299738,7.97167E-05
26w MECPP,cg15512715,0.165648863,7.9727E-05
26w MEP,cg25939630,-0.090284082,7.9964E-05
Avg ?DEHP,cg08838806,0.16665388,7.99888E-05
26w MCNP,cg17771150,0.136722891,8.00473E-05
26w ?HMW,cg04914894,0.133800601,8.0087E-05
13w MECPP,cg22996308,-0.161613202,8.01648E-05
Avg MBzP,cg15891757,-0.136921761,8.02754E-05
26w MCNP,cg04954411,-0.224735907,8.03905E-05
13w MCPP,cg19711075,0.106161945,8.0705E-05
Avg ?LMW,cg23400169,-0.154058068,8.1066E-05
26w MEOHP,cg07541442,0.141292943,8.1158E-05
13w MEP,cg18236745,-0.084369762,8.1581E-05
13w MECPP,cg17888096,1.566049964,8.15997E-05
Avg ?LMW,cg08279816,-0.187469038,8.17287E-05
13w MEP,cg26840757,-0.170917352,8.18585E-05
Avg MEP,cg15680557,0.152980528,8.19213E-05
26w MCNP,cg06579345,1.350053352,8.21134E-05
Avg MEP,cg05295236,0.179774587,8.21358E-05
13w MCPP,cg06288251,0.11610421,8.23127E-05
Avg MCNP,cg10954330,-1.260428971,8.23192E-05
13w MEOHP,cg06812668,-0.2069815,8.24617E-05
Avg ?HMW,cg17313483,0.32205554,8.24907E-05
13w MBP,cg11253592,-0.201271846,8.25126E-05
26w MECPP,cg13353683,0.127076139,8.2545E-05
13w MBzP,cg19969778,1.300422828,8.25898E-05
26w MECPP,cg14697642,0.203007326,8.26359E-05
Avg ?LMW,cg09112682,-0.142621024,8.26384E-05
26w MCNP,cg09780955,0.127799051,8.27166E-05
Avg MEP,cg16224230,-0.110636897,8.27481E-05
26w MEHP,cg00901401,0.128437519,8.27952E-05
13w MCNP,cg15542657,0.11516609,8.28407E-05
26w MCNP,cg22988444,0.139745406,8.28885E-05
13w MCNP,ch.6.93211F,0.334340771,8.29179E-05
13w MCPP,cg00632379,-0.136457058,8.30598E-05
Avg ?DEHP,cg22684507,-0.28916112,8.31634E-05
26w MEP,cg26753208,-0.14289521,8.31854E-05
26w MEHHP,cg22982528,0.089719086,8.32971E-05
13w MECPP,cg12912293,-0.196582231,8.33604E-05
26w MECPP,cg06314225,0.167313733,8.34104E-05
26w MEOHP,cg25265226,0.187800718,8.34742E-05
26W ?LMW,cg27049594,-1.090142319,8.35925E-05
Avg ?LMW,cg04068341,-0.144268471,8.38216E-05
Avg MEHHP,cg01708493,0.524207303,8.38356E-05
26w MEP,cg02891726,-0.092888975,8.38799E-05
Avg MEP,cg24127050,-0.099299478,8.39181E-05
26w MEHHP,cg06529201,0.136563769,8.40169E-05
26w ?DEHP,cg06314225,0.156987843,8.41277E-05
13w MEP,cg25510643,0.165597559,8.41508E-05
Avg ?LMW,cg07433453,-0.121642429,8.42245E-05
Avg MCNP,cg15756319,-0.860871786,8.42636E-05
Avg MEP,cg03596479,-0.138451481,8.45014E-05
13w MEP,cg25552655,-0.807392049,8.46031E-05
26w MEOHP,cg00170796,0.232330427,8.46382E-05
Avg MBP,cg16034562,-0.226876752,8.46582E-05
26W ?LMW,cg23888304,-0.094725827,8.47825E-05
26w MECPP,cg16585682,0.154195729,8.49454E-05
26w MCNP,cg17860186,0.15556073,8.49943E-05
26w ?HMW,cg09217898,0.188085805,8.50987E-05
13w MEHHP,cg06225476,-0.174992333,8.51174E-05
26w MCNP,cg20734268,0.164106603,8.51998E-05
Avg MEP,cg13343502,-0.122776248,8.5358E-05
26w MECPP,cg16085568,0.122590586,8.54043E-05
26w MCNP,cg08335618,0.202038565,8.55385E-05
Avg MEP,cg25252017,-0.114365068,8.56832E-05
Avg MEP,cg18477816,-0.098760996,8.60779E-05
Avg MEP,cg09244071,-0.118236112,8.61717E-05
Avg MEP,cg13149387,-0.099007378,8.63556E-05
Avg MBP,cg15443378,-0.242231559,8.63636E-05
13w MEHP,cg07703701,-0.179388844,8.6389E-05
26w ?HMW,cg14173185,0.145748414,8.64257E-05
Avg ?LMW,cg00103961,-0.11626945,8.64325E-05
26w MEHHP,cg02460349,0.106413221,8.66455E-05
26w MEOHP,cg21370986,0.147019357,8.66794E-05
Avg MEHHP,cg04340095,0.197836989,8.67233E-05
26w MBP,cg25152368,1.543527743,8.68676E-05
Avg MEP,cg05670240,-0.13880959,8.6978E-05
Avg MEHHP,cg22938275,0.137233669,8.70324E-05
26w MCNP,cg21024145,0.133147208,8.70456E-05
26w MCNP,cg02635953,0.804647703,8.71713E-05
26w MEOHP,cg06201030,0.134376932,8.72073E-05
26w MCNP,cg21851967,0.113341511,8.7299E-05
Avg MECPP,cg05400079,0.339742564,8.75154E-05
Avg MEHP,cg03682872,-0.349557967,8.75234E-05
13w MCNP,cg00250422,0.142582608,8.76203E-05
26w MCNP,cg27291235,0.165066681,8.76535E-05
