cpg,beta,p,,,,
cg20426671,-0.008063497,2.72E-09,,,,
cg06782035,0.02829095,2.80E-09,,,,
cg13605327,-0.007343384,2.82E-09,,,,
cg11774499,-0.009410565,2.83E-09,,,,
cg17457912,-0.005850418,2.84E-09,,,,
cg07411111,-0.01024134,2.85E-09,,,,
cg16919569,0.012291857,2.86E-09,,,,
cg23202985,-0.005891599,2.90E-09,,,,
cg00390775,0.012625439,2.95E-09,,,,
cg22878489,-0.010251072,2.96E-09,,,,
cg21279874,-0.009443791,2.97E-09,,,,
cg21296230,0.011245649,2.98E-09,,,,
cg22617819,-0.012019228,2.98E-09,,,,
cg00415704,-0.007214452,3.04E-09,,,,
cg11291003,-0.019023176,3.05E-09,,,,
cg11539780,0.015950743,3.06E-09,,,,
cg13829419,-0.011188307,3.07E-09,,,,
cg26512925,-0.006242683,3.09E-09,,,,
cg18177814,-0.005693169,3.11E-09,,,,
cg13135455,-0.008215705,3.28E-09,,,,
cg13654588,0.009471758,3.28E-09,,,,
cg15519786,-0.007813111,3.33E-09,,,,
cg21090033,-0.012553184,3.35E-09,,,,
cg15776355,-0.01478183,3.36E-09,,,,
cg01616956,-0.012180168,3.39E-09,,,,
cg09117405,-0.008003746,3.40E-09,,,,
cg01023751,-0.013646525,3.42E-09,,,,
cg04204669,-0.005876867,3.43E-09,,,,
cg06998765,-0.008613741,3.43E-09,,,,
cg12690246,-0.00882598,3.43E-09,,,,
cg16640358,-0.006313154,3.45E-09,,,,
cg16483916,0.008055255,3.47E-09,,,,
cg02512168,-0.012071901,3.59E-09,,,,
cg18524934,-0.015108841,3.60E-09,,,,
cg26122963,-0.008998041,3.61E-09,,,,
cg07071615,-0.005550152,3.61E-09,,,,
cg26549701,0.011364231,3.63E-09,,,,
cg00030420,0.014154978,3.69E-09,,,,
cg11980800,-0.011835074,3.71E-09,,,,
cg25782440,-0.005300047,3.74E-09,,,,
cg21940640,-0.009029444,3.74E-09,,,,
cg01104208,-0.008614009,3.74E-09,,,,
cg20359994,0.012300574,3.78E-09,,,,
cg08277369,-0.01402704,3.94E-09,,,,
cg00244776,-0.008439367,3.95E-09,,,,
cg24535475,-0.011249587,3.95E-09,,,,
cg12348202,0.01142973,4.00E-09,,,,
cg02484476,-0.007321165,4.03E-09,,,,
cg15640503,-0.014428565,4.03E-09,,,,
cg22165106,-0.007624177,4.03E-09,,,,
cg05168977,0.008468057,4.17E-09,,,,
cg24446932,-0.00672652,4.20E-09,,,,
cg22864266,-0.016392272,4.22E-09,,,,
cg00533891,-0.009438679,4.26E-09,,,,
cg19995539,-0.010211256,4.31E-09,,,,
cg02021127,-0.008983981,4.39E-09,,,,
cg22940798,-0.007500901,4.47E-09,,,,
cg02933228,-0.008143967,4.52E-09,,,,
cg24870966,-0.010696601,4.53E-09,,,,
cg03590031,-0.007250643,4.56E-09,,,,
cg08263205,-0.0060965,4.69E-09,,,,
cg21511948,-0.005682712,4.75E-09,,,,
cg14296767,-0.011939859,4.80E-09,,,,
cg00081324,-0.005119677,4.81E-09,,,,
cg20494635,-0.007138368,4.81E-09,,,,
cg15243034,0.019048684,4.83E-09,,,,
cg16384957,-0.010663191,4.83E-09,,,,
cg15498134,-0.011558551,4.83E-09,,,,
cg14671809,-0.00967065,4.85E-09,,,,
cg04976697,-0.005384397,4.92E-09,,,,
cg15618978,0.01353885,4.99E-09,,,,
cg10978034,-0.013440814,5.05E-09,,,,
cg26422861,-0.008277821,5.07E-09,,,,
cg04753583,0.008666491,5.11E-09,,,,
cg12757011,0.010238024,5.12E-09,,,,
cg04468568,-0.00630547,5.16E-09,,,,
cg09098195,-0.012418352,5.18E-09,,,,
cg24428232,-0.007727143,5.18E-09,,,,
cg17662369,-0.011752059,5.26E-09,,,,
cg14058848,-0.006957191,5.30E-09,,,,
cg08445802,0.01161646,5.39E-09,,,,
cg05439665,-0.011478197,5.47E-09,,,,
cg27111444,-0.01115666,5.52E-09,,,,
cg08515264,-0.007945083,5.53E-09,,,,
cg04688330,-0.004465696,5.56E-09,,,,
cg13790576,-0.010949028,5.63E-09,,,,
cg07839457,-0.013733724,5.65E-09,,,,
cg09124496,-0.017045056,5.69E-09,,,,
cg14090647,-0.007361925,5.77E-09,,,,
cg21915074,-0.005793235,5.77E-09,,,,
cg17593472,-0.008550549,5.87E-09,,,,
cg00439658,0.009605656,5.92E-09,,,,
cg02110858,-0.014794751,5.94E-09,,,,
cg21301148,-0.006154547,6.14E-09,,,,
cg13669432,-0.011321121,6.20E-09,,,,
cg04485799,0.008452954,6.22E-09,,,,
cg06762457,-0.010472713,6.27E-09,,,,
cg08291506,-0.00663906,6.28E-09,,,,
cg17183905,-0.011571114,6.35E-09,,,,
cg23406136,-0.00580548,6.40E-09,,,,
cg23075337,0.01064583,6.45E-09,,,,
cg15360771,-0.006353696,6.48E-09,,,,
cg10941749,-0.008194439,6.50E-09,,,,
cg25444821,-0.008634399,6.52E-09,,,,
cg16463880,-0.012808539,6.54E-09,,,,
cg18070593,-0.009658607,6.56E-09,,,,
cg15672768,0.015723624,6.57E-09,,,,
cg21806242,-0.022402772,6.60E-09,,,,
cg12710480,-0.006257913,6.67E-09,,,,
cg20152430,-0.013385662,6.73E-09,,,,
cg04427498,0.012646147,6.80E-09,,,,
cg05923914,-0.007162134,6.80E-09,,,,
cg25608626,-0.008809262,6.82E-09,,,,
cg20165545,-0.015250402,7.01E-09,,,,
cg24724618,-0.007717374,7.04E-09,,,,
cg03464692,-0.007956803,7.05E-09,,,,
cg02531924,-0.007921397,7.13E-09,,,,
cg03845837,-0.008174272,7.22E-09,,,,
cg27050153,0.008646766,7.25E-09,,,,
cg25670229,0.005800239,7.27E-09,,,,
cg04464727,-0.006827973,7.35E-09,,,,
cg05156137,-0.017085497,7.40E-09,,,,
cg00481951,0.020549908,7.41E-09,,,,
cg16554981,-0.011524122,7.46E-09,,,,
cg25371036,-0.008227953,7.55E-09,,,,
cg06885459,-0.009211252,7.61E-09,,,,
cg07465899,-0.007173241,7.64E-09,,,,
cg12667125,-0.007279198,7.67E-09,,,,
cg19514721,-0.008968954,7.70E-09,,,,
cg00350615,-0.006045852,7.75E-09,,,,
cg20687553,-0.004299748,7.77E-09,,,,
cg00719568,-0.010413806,7.79E-09,,,,
cg18857889,-0.009289354,7.82E-09,,,,
cg26701785,-0.022686818,7.89E-09,,,,
cg18609078,0.009782884,7.95E-09,,,,
cg16293569,-0.00545401,7.97E-09,,,,
cg05296057,-0.007919007,7.98E-09,,,,
cg13786089,0.011696586,8.29E-09,,,,
cg26746573,-0.005270176,8.31E-09,,,,
cg27389185,0.009383583,8.39E-09,,,,
cg05923226,0.00997095,8.41E-09,,,,
cg19495013,-0.009789946,8.42E-09,,,,
cg23431721,-0.01158319,8.42E-09,,,,
cg05697253,-0.00624902,8.45E-09,,,,
cg11231631,-0.005270387,8.70E-09,,,,
cg16792613,-0.007040298,9.07E-09,,,,
cg12616487,-0.005595867,9.09E-09,,,,
cg16810343,-0.013595349,9.18E-09,,,,
cg12161971,0.028687478,9.24E-09,,,,
cg01950129,-0.008424223,9.28E-09,,,,
cg26685941,-0.010763204,9.31E-09,,,,
cg13702996,0.008789726,9.31E-09,,,,
cg11386711,-0.009495617,9.36E-09,,,,
cg23490727,-0.008918595,9.36E-09,,,,
cg06002638,-0.013959998,9.42E-09,,,,
cg21862529,-0.007115098,9.50E-09,,,,
cg06163904,-0.008725923,9.64E-09,,,,
cg09642020,-0.005026259,9.64E-09,,,,
cg01567672,-0.006359387,9.65E-09,,,,
cg01287975,0.014744081,9.67E-09,,,,
cg17459387,-0.009752164,9.76E-09,,,,
cg04427490,-0.006295993,9.81E-09,,,,
cg10967350,0.007289948,9.92E-09,,,,
cg21705505,-0.007145513,1.01E-08,,,,
cg02553054,-0.013243017,1.01E-08,,,,
cg01024247,-0.010731131,1.01E-08,,,,
cg19855470,0.006185693,1.02E-08,,,,
cg18077307,-0.01006475,1.02E-08,,,,
cg01942816,-0.012455401,1.03E-08,,,,
cg15285250,0.017799946,1.03E-08,,,,
cg19413066,-0.007571659,1.04E-08,,,,
cg00062437,-0.004775607,1.05E-08,,,,
cg07485775,0.014370728,1.06E-08,,,,
cg23119026,-0.006717399,1.06E-08,,,,
cg16582779,0.005890875,1.07E-08,,,,
cg06933824,0.015046471,1.07E-08,,,,
cg01385198,-0.004937285,1.08E-08,,,,
cg01405582,-0.009749185,1.10E-08,,,,
cg00171192,0.004743709,1.10E-08,,,,
cg17271585,-0.008026475,1.11E-08,,,,
cg00805874,-0.015478874,1.11E-08,,,,
cg11022944,-0.016143106,1.11E-08,,,,
cg11594821,-0.011067751,1.12E-08,,,,
cg20341535,-0.011819316,1.12E-08,,,,
cg24217948,-0.012482224,1.13E-08,,,,
cg08415592,-0.011790646,1.13E-08,,,,
cg27355006,-0.005782303,1.14E-08,,,,
cg03193472,-0.009865638,1.15E-08,,,,
cg17693604,-0.007189243,1.17E-08,,,,
cg27508071,-0.006862442,1.17E-08,,,,
cg25744355,0.024492444,1.18E-08,,,,
cg01983373,-0.007438986,1.21E-08,,,,
cg03126058,-0.01639575,1.21E-08,,,,
cg17611235,-0.010551187,1.22E-08,,,,
cg22962923,-0.00643387,1.24E-08,,,,
cg12227172,0.012640554,1.25E-08,,,,
cg24403338,-0.009152982,1.25E-08,,,,
cg24542766,-0.00524553,1.27E-08,,,,
cg20518446,-0.013627873,1.28E-08,,,,
cg16731240,0.019961829,1.28E-08,,,,
cg15472170,-0.024206902,1.30E-08,,,,
cg22163280,-0.010995055,1.30E-08,,,,
cg20664247,-0.007377458,1.30E-08,,,,
cg15168727,0.009700611,1.32E-08,,,,
cg04021562,-0.005395058,1.36E-08,,,,
cg03738025,0.021253034,1.37E-08,,,,
cg00757070,-0.005576874,1.39E-08,,,,
cg23942980,0.007976786,1.39E-08,,,,
cg27062060,-0.008548539,1.39E-08,,,,
cg14042143,-0.010081783,1.40E-08,,,,
cg01294808,0.013265354,1.40E-08,,,,
cg03927133,0.011155493,1.41E-08,,,,
cg23836737,-0.011945861,1.42E-08,,,,
cg00484358,0.004985639,1.42E-08,,,,
cg00875989,0.006792403,1.42E-08,,,,
cg23488607,-0.00643722,1.43E-08,,,,
cg02121447,-0.00915753,1.43E-08,,,,
cg02030542,-0.004131396,1.43E-08,,,,
cg02154186,0.010003771,1.45E-08,,,,
cg03777083,-0.007526301,1.45E-08,,,,
cg05949660,-0.005459218,1.45E-08,,,,
cg19377363,-0.00425883,1.45E-08,,,,
cg02412346,-0.005474015,1.46E-08,,,,
cg21846009,-0.005710401,1.46E-08,,,,
cg12530503,0.005694381,1.46E-08,,,,
cg24024661,-0.016313219,1.47E-08,,,,
cg08885800,0.010539099,1.47E-08,,,,
cg12807924,-0.004647866,1.50E-08,,,,
cg03433986,-0.008544873,1.51E-08,,,,
cg12258344,-0.006337376,1.51E-08,,,,
cg21201924,-0.00796323,1.51E-08,,,,
cg13291611,-0.009327983,1.53E-08,,,,
cg13959344,-0.01288105,1.53E-08,,,,
cg17187762,-0.016976421,1.53E-08,,,,
cg20595453,-0.009196685,1.53E-08,,,,
cg06143901,-0.010398587,1.54E-08,,,,
cg27182476,-0.011569177,1.54E-08,,,,
cg06686679,-0.003666329,1.55E-08,,,,
cg03672272,-0.007152674,1.55E-08,,,,
cg23126342,-0.013505425,1.57E-08,,,,
cg22353329,0.006846213,1.58E-08,,,,
cg15007228,-0.007037545,1.61E-08,,,,
cg00231918,-0.005133881,1.61E-08,,,,
cg13909895,-0.018123105,1.62E-08,,,,
cg01282174,-0.020571174,1.62E-08,,,,
cg15110296,-0.01284696,1.62E-08,,,,
cg07164639,-0.010429594,1.64E-08,,,,
cg17093478,0.018026863,1.66E-08,,,,
cg03473532,-0.009664511,1.68E-08,,,,
cg11064966,-0.008210388,1.69E-08,,,,
cg25607920,-0.014942401,1.70E-08,,,,
cg10928466,-0.008654143,1.71E-08,,,,
cg17571266,-0.013066554,1.72E-08,,,,
cg04161365,-0.00534857,1.72E-08,,,,
cg23341182,-0.014624762,1.72E-08,,,,
cg24712501,-0.00643675,1.76E-08,,,,
cg06602847,0.0073129,1.77E-08,,,,
cg21023831,-0.00847441,1.77E-08,,,,
cg03200166,0.01872446,1.77E-08,,,,
cg05365199,-0.008678901,1.79E-08,,,,
cg05656770,-0.007014931,1.81E-08,,,,
cg26211349,-0.011997189,1.82E-08,,,,
cg27069753,-0.004820496,1.82E-08,,,,
cg04993130,-0.00642629,1.83E-08,,,,
cg18274749,-0.005349846,1.86E-08,,,,
cg03419051,-0.006989239,1.86E-08,,,,
cg23851558,-0.012589323,1.86E-08,,,,
cg14435098,-0.009644517,1.87E-08,,,,
cg10043090,-0.008205193,1.88E-08,,,,
cg06060874,-0.01327133,1.89E-08,,,,
cg16015712,0.021698137,1.93E-08,,,,
cg18969232,0.00878165,1.93E-08,,,,
cg25748108,-0.006962498,1.93E-08,,,,
cg18328933,-0.005656566,1.94E-08,,,,
cg16615154,0.014812705,1.94E-08,,,,
cg18901355,-0.005030473,1.94E-08,,,,
cg08343101,-0.005527184,1.95E-08,,,,
cg14523706,-0.004327162,1.95E-08,,,,
cg03113502,0.009239168,1.97E-08,,,,
cg04300115,-0.005719392,1.98E-08,,,,
cg12373771,0.010403687,1.98E-08,,,,
cg18343556,-0.005632834,1.98E-08,,,,
cg18335326,-0.011557019,1.98E-08,,,,
cg25428494,-0.01337315,2.00E-08,,,,
cg09130091,-0.005481653,2.00E-08,,,,
cg18569661,-0.005718529,2.01E-08,,,,
cg18032812,-0.009669356,2.03E-08,,,,
cg07583137,-0.013261125,2.08E-08,,,,
cg23368787,0.006897825,2.08E-08,,,,
cg25744957,-0.006035324,2.10E-08,,,,
cg03240059,-0.009219068,2.10E-08,,,,
cg07330212,0.014415177,2.11E-08,,,,
cg21681320,-0.005488165,2.11E-08,,,,
cg11214576,-0.007259046,2.12E-08,,,,
cg10366797,0.007363738,2.14E-08,,,,
cg21801378,0.016945219,2.14E-08,,,,
cg25922355,-0.004379405,2.15E-08,,,,
cg15195412,-0.006683017,2.16E-08,,,,
cg20515136,-0.007812911,2.18E-08,,,,
cg18437808,-0.012077284,2.20E-08,,,,
cg19038230,-0.015589989,2.22E-08,,,,
cg18618815,-0.011079207,2.24E-08,,,,
cg26325867,-0.006887541,2.25E-08,,,,
cg00455467,-0.005780142,2.27E-08,,,,
cg21049809,-0.004824262,2.27E-08,,,,
cg01205011,-0.010951827,2.31E-08,,,,
cg06878361,0.011737814,2.32E-08,,,,
cg18473521,0.0115477,2.32E-08,,,,
cg07589968,-0.005304882,2.35E-08,,,,
cg15600751,-0.006046777,2.37E-08,,,,
cg09652746,-0.008043762,2.38E-08,,,,
cg03940098,0.013299314,2.39E-08,,,,
cg19238380,-0.009944639,2.39E-08,,,,
cg06526721,-0.019416868,2.40E-08,,,,
cg05373251,-0.013740481,2.41E-08,,,,
cg25778262,0.009748787,2.43E-08,,,,
cg03584351,-0.012104352,2.45E-08,,,,
cg17340519,0.015512986,2.45E-08,,,,
cg17136255,-0.008760731,2.46E-08,,,,
cg10477193,0.007124893,2.46E-08,,,,
cg19414741,0.009451411,2.47E-08,,,,
cg02431260,-0.010487689,2.48E-08,,,,
cg03236802,0.011171783,2.51E-08,,,,
cg18037834,-0.006964986,2.52E-08,,,,
cg08788540,-0.00737455,2.52E-08,,,,
cg22968622,-0.040638023,2.54E-08,,,,
cg13856810,-0.010032182,2.56E-08,,,,
cg20959866,0.011121482,2.60E-08,,,,
cg14757107,-0.010323674,2.61E-08,,,,
cg19998368,0.005109786,2.62E-08,,,,
cg10376827,-0.008997426,2.62E-08,,,,
cg27226147,0.024178532,2.62E-08,,,,
cg13570972,0.012916336,2.66E-08,,,,
cg12314121,0.013988833,2.71E-08,,,,
cg23346237,-0.009442646,2.73E-08,,,,
cg22156456,-0.015041974,2.73E-08,,,,
cg12068761,0.008392497,2.74E-08,,,,
cg27175509,-0.006382434,2.75E-08,,,,
cg20976581,-0.004678924,2.78E-08,,,,
cg01490733,-0.003903869,2.78E-08,,,,
cg20175390,0.010184983,2.79E-08,,,,
cg16671079,-0.006502494,2.80E-08,,,,
cg20359888,-0.006590343,2.80E-08,,,,
cg25312594,0.007628269,2.80E-08,,,,
cg07134316,-0.008612264,2.82E-08,,,,
cg23527621,0.006361343,2.83E-08,,,,
cg16201146,-0.009384577,2.84E-08,,,,
cg13702357,-0.010934555,2.84E-08,,,,
cg07159958,-0.015066147,2.85E-08,,,,
cg17176676,-0.014862215,2.86E-08,,,,
cg06893273,-0.01165469,2.88E-08,,,,
cg02209667,-0.011677351,2.88E-08,,,,
cg22007666,0.013441719,2.88E-08,,,,
cg09308553,-0.008561965,2.89E-08,,,,
cg12432010,0.010140897,2.90E-08,,,,
cg03156547,-0.005062922,2.91E-08,,,,
cg04267526,0.008636795,2.91E-08,,,,
cg23325364,-0.006177703,2.93E-08,,,,
cg04521765,-0.006461147,2.93E-08,,,,
cg15125438,-0.006966001,2.95E-08,,,,
cg06838581,-0.013539226,2.96E-08,,,,
cg06790674,-0.004818739,2.97E-08,,,,
cg08770647,-0.006196393,2.98E-08,,,,
cg14349763,-0.005712116,2.99E-08,,,,
cg00864666,-0.008696592,2.99E-08,,,,
cg22103219,-0.007775298,3.00E-08,,,,
cg27428520,-0.008143898,3.05E-08,,,,
cg10979567,-0.011040321,3.07E-08,,,,
cg21691893,-0.00601184,3.07E-08,,,,
cg13826452,0.012095175,3.07E-08,,,,
cg24709951,-0.013210877,3.08E-08,,,,
cg00036871,-0.004485494,3.09E-08,,,,
cg02512920,0.008345211,3.13E-08,,,,
cg01435137,-0.006866884,3.14E-08,,,,
cg03972838,-0.006317655,3.14E-08,,,,
cg18310639,-0.006369664,3.19E-08,,,,
cg12422450,0.01613323,3.21E-08,,,,
cg13561879,0.015003413,3.21E-08,,,,
cg04619882,-0.009760662,3.26E-08,,,,
cg22136749,-0.009050484,3.27E-08,,,,
cg06793562,0.012430543,3.32E-08,,,,
cg23900422,-0.014929829,3.32E-08,,,,
cg13917614,-0.017514174,3.32E-08,,,,
cg21350073,0.01296805,3.33E-08,,,,
cg02653315,-0.004744512,3.39E-08,,,,
cg13006424,-0.006470751,3.39E-08,,,,
cg08975528,-0.01379673,3.39E-08,,,,
cg14990643,-0.007729882,3.41E-08,,,,
cg04792813,0.008616346,3.42E-08,,,,
cg02605007,-0.009667417,3.42E-08,,,,
cg20419623,0.005344159,3.44E-08,,,,
cg26470501,-0.00577564,3.45E-08,,,,
cg15979173,0.009555401,3.45E-08,,,,
cg05347965,0.01005962,3.49E-08,,,,
cg23845249,-0.006653786,3.49E-08,,,,
cg18860280,0.014919522,3.49E-08,,,,
cg15705175,-0.004037226,3.50E-08,,,,
cg04580344,0.029354304,3.53E-08,,,,
cg12007048,-0.010657392,3.58E-08,,,,
cg11202634,-0.008822928,3.60E-08,,,,
cg00708603,-0.006927143,3.62E-08,,,,
cg07310671,-0.011944217,3.64E-08,,,,
cg16580935,-0.00887226,3.65E-08,,,,
cg07060551,0.012769618,3.66E-08,,,,
cg16935597,-0.006229256,3.66E-08,,,,
cg26023303,-0.008993455,3.67E-08,,,,
cg02334775,-0.00804813,3.67E-08,,,,
cg02222235,-0.012578756,3.68E-08,,,,
cg23629166,-0.010512383,3.72E-08,,,,
cg03925294,0.006305413,3.76E-08,,,,
cg15838173,-0.014130565,3.80E-08,,,,
cg21678813,0.009810863,3.84E-08,,,,
cg15673547,-0.007001207,3.85E-08,,,,
cg13961400,-0.006122332,3.85E-08,,,,
cg00574412,-0.005485109,3.86E-08,,,,
cg23998240,-0.009998544,3.87E-08,,,,
cg13700939,-0.0078989,3.87E-08,,,,
cg11713008,0.007212354,3.88E-08,,,,
cg16524232,-0.005432615,3.92E-08,,,,
cg00684075,-0.006646215,3.94E-08,,,,
cg17657268,0.006421182,3.95E-08,,,,
cg19351603,-0.006358685,3.95E-08,,,,
cg21469505,-0.010609931,3.96E-08,,,,
cg01763090,0.010566659,3.98E-08,,,,
cg10207917,-0.003955624,3.98E-08,,,,
cg13580265,0.016928914,4.00E-08,,,,
cg01810329,-0.00920998,4.01E-08,,,,
cg04467589,-0.008090439,4.02E-08,,,,
cg11770664,-0.00585878,4.04E-08,,,,
cg02149899,-0.005217271,4.08E-08,,,,
cg00741624,0.009465426,4.10E-08,,,,
cg15757292,-0.00713718,4.13E-08,,,,
cg09371559,-0.00765582,4.13E-08,,,,
cg02318784,0.010693258,4.15E-08,,,,
cg23995914,0.018804526,4.17E-08,,,,
cg14221644,-0.00653615,4.20E-08,,,,
cg20747538,-0.012714894,4.22E-08,,,,
cg25256723,-0.009105572,4.24E-08,,,,
cg17794241,-0.007564902,4.28E-08,,,,
cg03010887,-0.00960863,4.29E-08,,,,
cg08509172,0.01449324,4.31E-08,,,,
cg07950397,-0.005191556,4.33E-08,,,,
cg01910639,-0.006043145,4.35E-08,,,,
cg13393785,-0.007553959,4.35E-08,,,,
cg03918288,-0.006053299,4.36E-08,,,,
cg14122599,-0.005806519,4.40E-08,,,,
cg12798194,-0.008035286,4.41E-08,,,,
cg01201797,0.01078399,4.42E-08,,,,
cg19856758,-0.008865716,4.43E-08,,,,
cg27287951,-0.027711842,4.43E-08,,,,
cg08312355,-0.006610497,4.47E-08,,,,
cg26616258,-0.015436062,4.47E-08,,,,
cg19433037,0.007243296,4.50E-08,,,,
cg12856183,0.010473199,4.52E-08,,,,
cg25909064,-0.00549798,4.52E-08,,,,
cg01297756,0.007065591,4.53E-08,,,,
cg04055490,-0.005714307,4.54E-08,,,,
cg05991454,0.015373596,4.55E-08,,,,
cg17970390,-0.005696691,4.56E-08,,,,
cg15448975,0.010333866,4.56E-08,,,,
cg11390151,-0.01007966,4.57E-08,,,,
cg03788090,-0.007454754,4.58E-08,,,,
cg08437786,-0.006737059,4.59E-08,,,,
cg17619755,-0.008764408,4.59E-08,,,,
cg26706003,-0.011516094,4.60E-08,,,,
cg04922188,-0.0061278,4.65E-08,,,,
cg18880986,-0.009037024,4.65E-08,,,,
cg06852240,-0.00973661,4.68E-08,,,,
cg06653632,-0.010380442,4.69E-08,,,,
cg07766263,0.006036551,4.70E-08,,,,
cg25980484,-0.00572233,4.74E-08,,,,
cg18087326,-0.008624193,4.75E-08,,,,
cg20979921,-0.015998946,4.75E-08,,,,
cg04774505,-0.009861078,4.81E-08,,,,
cg03259243,0.013386137,4.84E-08,,,,
cg00959431,0.008404025,4.86E-08,,,,
cg25355803,-0.004143165,4.90E-08,,,,
cg04472592,-0.007248412,4.98E-08,,,,
cg02454476,-0.00680373,5.00E-08,,,,
cg05831242,-0.004297314,5.07E-08,,,,
cg01845583,-0.004745643,5.11E-08,,,,
cg24911827,-0.004612936,5.11E-08,,,,
cg03544320,0.033695998,5.12E-08,,,,
cg14692377,0.013748208,5.13E-08,,,,
cg04317076,-0.007362765,5.14E-08,,,,
cg25400422,-0.005638459,5.20E-08,,,,
cg00210249,-0.01279564,5.20E-08,,,,
cg25843346,-0.006922391,5.21E-08,,,,
cg07436562,-0.006211847,5.24E-08,,,,
cg05817709,-0.01070364,5.25E-08,,,,
cg19471433,-0.010063677,5.32E-08,,,,
cg04229059,-0.006880183,5.32E-08,,,,
cg02057782,0.007062723,5.34E-08,,,,
cg12358050,-0.007548653,5.36E-08,,,,
cg17034109,-0.006191312,5.37E-08,,,,
cg05347216,-0.009098403,5.37E-08,,,,
cg04019522,-0.007813288,5.42E-08,,,,
cg18297751,0.006727349,5.47E-08,,,,
cg05772532,-0.006801134,5.47E-08,,,,
cg25470384,-0.023667444,5.53E-08,,,,
cg18538253,-0.00271787,5.54E-08,,,,
cg14055655,-0.012989998,5.55E-08,,,,
cg06819357,-0.009403999,5.55E-08,,,,
cg22079043,-0.013563386,5.65E-08,,,,
cg18064787,-0.008141519,5.71E-08,,,,
cg14079463,0.030308126,5.78E-08,,,,
cg24168221,-0.010413271,5.79E-08,,,,
cg11554650,-0.003539925,5.89E-08,,,,
cg03032497,0.01683749,5.89E-08,,,,
cg10991175,-0.006729791,5.90E-08,,,,
cg04717595,-0.006665262,5.90E-08,,,,
cg23647410,-0.007073193,5.92E-08,,,,
cg09001514,-0.009180729,5.94E-08,,,,
cg08745334,-0.005466241,5.99E-08,,,,
cg13120986,-0.011047662,6.01E-08,,,,
cg04455430,0.007349277,6.06E-08,,,,
cg13954457,0.018598147,6.07E-08,,,,
cg14529610,-0.005411887,6.07E-08,,,,
cg01927741,-0.006007982,6.07E-08,,,,
cg09304357,-0.01355121,6.10E-08,,,,
cg25391162,0.005012873,6.16E-08,,,,
cg18675610,-0.016019785,6.18E-08,,,,
cg08985282,-0.007618295,6.18E-08,,,,
cg04604946,-0.006411178,6.18E-08,,,,
cg15935121,-0.006430553,6.20E-08,,,,
cg25011257,-0.007102956,6.21E-08,,,,
cg27005847,-0.008404952,6.21E-08,,,,
cg02344113,-0.008211883,6.22E-08,,,,
cg03562414,0.017256738,6.23E-08,,,,
cg06492796,-0.016139834,6.24E-08,,,,
cg07712243,-0.004057731,6.25E-08,,,,
cg13563634,-0.008126963,6.25E-08,,,,
cg11024682,0.004271562,6.27E-08,,,,
cg22496559,-0.011723769,6.27E-08,,,,
cg03068319,-0.01072395,6.31E-08,,,,
cg13385220,-0.010340131,6.35E-08,,,,
cg18944087,-0.009518398,6.38E-08,,,,
cg05898524,-0.007352131,6.39E-08,,,,
cg03395546,-0.01187354,6.41E-08,,,,
cg07568430,-0.008694671,6.42E-08,,,,
cg05324516,-0.009837844,6.44E-08,,,,
cg05261596,-0.006049853,6.45E-08,,,,
cg14016177,0.007491624,6.55E-08,,,,
cg26283480,-0.011502802,6.55E-08,,,,
cg15995714,-0.006408891,6.61E-08,,,,
cg00253564,-0.007854537,6.61E-08,,,,
cg26312542,0.01730251,6.63E-08,,,,
cg14698339,-0.008460406,6.64E-08,,,,
cg22221074,-0.009614502,6.68E-08,,,,
cg23874437,0.009859108,6.76E-08,,,,
cg15393702,-0.011986969,6.78E-08,,,,
cg17010827,-0.006471139,6.80E-08,,,,
cg25154244,-0.011087028,6.86E-08,,,,
cg03873281,-0.012814412,6.87E-08,,,,
cg08231696,-0.008837159,6.90E-08,,,,
cg09559780,-0.008766054,6.91E-08,,,,
cg07178825,0.007967156,6.92E-08,,,,
cg15059065,-0.018628942,6.95E-08,,,,
cg04037228,-0.006821492,7.07E-08,,,,
cg03607179,-0.004764233,7.12E-08,,,,
cg08179353,-0.0119197,7.16E-08,,,,
cg15547825,-0.01249097,7.16E-08,,,,
cg08765811,-0.007970135,7.18E-08,,,,
cg27209729,-0.011350855,7.19E-08,,,,
cg13443911,-0.010451888,7.20E-08,,,,
cg04149578,-0.007161471,7.24E-08,,,,
cg22383924,-0.00590106,7.25E-08,,,,
cg13347201,0.008508052,7.28E-08,,,,
cg06437922,-0.006082615,7.30E-08,,,,
cg05251861,-0.007370722,7.34E-08,,,,
cg20541344,-0.004354718,7.41E-08,,,,
cg12742799,0.008044778,7.43E-08,,,,
cg13671249,0.009583323,7.44E-08,,,,
cg19847945,-0.00936244,7.45E-08,,,,
cg22112832,-0.008710165,7.46E-08,,,,
cg17785250,0.007072488,7.50E-08,,,,
cg10684486,-0.009127659,7.53E-08,,,,
cg27320127,0.00934088,7.53E-08,,,,
cg20986652,0.007359471,7.55E-08,,,,
cg10676084,0.011521197,7.55E-08,,,,
cg08429256,-0.00484927,7.55E-08,,,,
cg05713486,-0.007539595,7.56E-08,,,,
cg15416179,-0.006042857,7.57E-08,,,,
cg10476085,-0.005606817,7.58E-08,,,,
cg13683374,-0.006834561,7.59E-08,,,,
cg11333968,-0.008878915,7.64E-08,,,,
cg01108112,-0.005531632,7.66E-08,,,,
cg27290215,-0.011538176,7.69E-08,,,,
